Light,,FvFm Control,,FvFm Bleaching,,YII Control,,YII Bleaching,,NPQ Control,,NPQ Bleaching,,NO Control,,NO Bleaching,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
4.863110478521005,15.511101417017926,4.875739644970414,0.6707692307692308,5.065088757396451,0.6451282051282051,4.96551724137931,0.2837712519319937,5.060098522167486,0.31282843894899526,4.866141732283465,0.5052132701421796,5.00787401574803,0.47582938388625573,4.918226600985221,0.20788321167883161,5.012807881773398,0.2102189781021888
5.667244038346787,75.70518219290398,9.041420118343195,0.5784615384615385,8.994082840236688,0.5066666666666668,8.985221674876847,0.2769706336939721,9.032512315270935,0.2312210200927356,8.929133858267715,0.4559241706161137,8.929133858267715,0.4691943127962084,8.89064039408867,0.26043795620437926,8.985221674876847,0.2919708029197077
5.809149960668982,179.67677626034356,13.01775147928994,0.31692307692307686,13.01775147928994,0.26666666666666683,12.957635467980296,0.14157650695517776,13.004926108374384,0.11499227202472939,12.897637795275589,0.49194312796208495,12.897637795275589,0.4966824644549761,12.957635467980296,0.363211678832116,12.910344827586208,0.3818978102189776
6.0456598312059775,286.38446490850515,17.041420118343197,0.5025641025641026,17.041420118343197,0.45025641025641017,16.97733990147783,0.2831530139103553,16.882758620689657,0.15950540958268933,17.055118110236222,0.40094786729857823,16.91338582677165,0.5099526066350708,16.882758620689653,0.3118248175182474,16.977339901477833,0.32817518248175137
6.329471675850371,387.6199643952227,21.01775147928994,0.4933333333333334,21.01775147928994,0.5405128205128205,20.997044334975367,0.24482225656877898,21.04433497536946,0.19536321483771246,20.881889763779522,0.49857819905213274,21.11811023622047,0.5459715639810421,21.044334975369456,0.2569343065693426,20.99704433497537,0.255766423357664
6.660585494602163,488.85546388194007,29.112426035502956,0.5271794871794873,29.112426035502956,0.5517948717948717,28.989162561576354,0.19721792890262746,29.08374384236453,0.1137557959814528,28.91338582677165,0.5440758293838863,29.05511811023622,0.637914691943128,28.989162561576354,0.2510948905109487,28.894581280788177,0.2452554744525539
6.991699313353955,590.0909633686574,32.994082840236686,0.24717948717948723,33.04142011834319,0.19692307692307698,33.00886699507389,0.09459041731066442,32.961576354679806,0.05440494590417311,32.881889763779526,0.47582938388625573,32.9763779527559,0.4900473933649283,32.96157635467979,0.4286131386861314,33.00886699507389,0.4601459854014598
7.2755111579983485,694.062557436097,37.065088757396445,0.19692307692307698,37.01775147928994,0.12205128205128224,36.981280788177344,0.09891808346213282,36.981280788177344,0.0667697063369399,36.94488188976378,0.39810426540284327,37.03937007874015,0.3895734597156397,36.981280788177344,0.5021897810218974,37.07586206896552,0.562919708029197
7.60662497675014,798.0341515035366,41.0887573964497,0.3353846153846156,41.0887573964497,0.17230769230769227,41.00098522167487,0.16383307573415773,40.953694581280786,0.04513137557959812,40.913385826771645,0.4824644549763031,41.00787401574803,0.3990521327014216,41.04827586206896,0.3515328467153278,40.90640394088669,0.5559124087591236
7.843134847287136,899.2696509902539,45.01775147928994,0.5302564102564102,45.06508875739645,0.10871794871794882,45.0679802955665,0.21761978361669243,45.02068965517242,0.019783616692426564,44.881889763779526,0.5516587677725115,45.07086614173228,0.25402843601895686,44.97339901477832,0.23007299270072945,45.020689655172404,0.7205839416058386
8.316154588361123,995.0329613155272,,,,,,,,,,,,,,,,
8.599966433005516,1090.7962716408006,,,,,,,,,,,,,,,,
8.978382225864706,1200.2400548696842,,,,,,,,,,,,,,,,
9.498703941046095,1301.4755543564017,,,,,,,,,,,,,,,,
10.066327630334882,1386.2944863587868,,,,,,,,,,,,,,,,
10.775857241945868,1443.7524725539506,,,,,,,,,,,,,,,,
11.343480931234652,1460.1690400382831,,,,,,,,,,,,,,,,
12.289520413382629,1454.696850876839,,,,,,,,,,,,,,,,
12.951748050886216,1399.974959262397,,,,,,,,,,,,,,,,
13.377465817852805,1334.308689325067,,,,,,,,,,,,,,,,
13.708579636604597,1263.1702302262925,,,,,,,,,,,,,,,,
14.086995429463787,1216.656622354017,,,,,,,,,,,,,,,,
14.276203325893384,1156.4625415781309,,,,,,,,,,,,,,,,
14.560015170537774,1088.0601770600786,,,,,,,,,,,,,,,,
14.843827015182171,995.0329613155272,,,,,,,,,,,,,,,,
15.174940833933963,932.1027859589192,,,,,,,,,,,,,,,,
15.316846756256158,869.1726106023109,,,,,,,,,,,,,,,,
15.458752678578357,803.5063406649808,,,,,,,,,,,,,,,,
15.411450704470962,746.0483544698168,,,,,,,,,,,,,,,,
15.411450704470962,653.0211387252657,,,,,,,,,,,,,,,,
15.506054652685755,532.6329771734934,,,,,,,,,,,,,,,,
15.506054652685755,466.9667072361633,,,,,,,,,,,,,,,,
15.506054652685755,404.036531879555,,,,,,,,,,,,,,,,
15.506054652685755,332.8980727807807,,,,,,,,,,,,,,,,
15.506054652685755,272.70399200489464,,,,,,,,,,,,,,,,
15.458752678578357,193.35724916395384,,,,,,,,,,,,,,,,
15.884470445544949,144.10754671095629,,,,,,,,,,,,,,,,
16.59400005715593,108.53831716156924,,,,,,,,,,,,,,,,
17.208925720552116,75.70518219290398,,,,,,,,,,,,,,,,
17.681945461626103,40.13595264351693,,,,,,,,,,,,,,,,
18.296871125022292,10.038912255573905,,,,,,,,,,,,,,,,
19.19560863306287,7.302817674851667,,,,,,,,,,,,,,,,
20.188950089318247,10.038912255573905,,,,,,,,,,,,,,,,
21.939123131292007,7.302817674851667,,,,,,,,,,,,,,,,
23.216276432191776,4.566723094129429,,,,,,,,,,,,,,,,
24.39882578487675,7.302817674851667,,,,,,,,,,,,,,,,
25.675979085776518,10.038912255573905,,,,,,,,,,,,,,,,
26.811226464354093,7.302817674851667,,,,,,,,,,,,,,,,
28.32488963579086,7.302817674851667,,,,,,,,,,,,,,,,
28.987117273294437,12.775006836295688,,,,,,,,,,,,,,,,
29.36553306615363,40.13595264351693,,,,,,,,,,,,,,,,
29.743948859012825,64.76080387001548,,,,,,,,,,,,,,,,
29.791250833120223,157.7880196145668,,,,,,,,,,,,,,,,
29.93315675544242,253.5513299398399,,,,,,,,,,,,,,,,
30.216968600086815,343.84245110366896,,,,,,,,,,,,,,,,
30.500780444731205,439.6057614289425,,,,,,,,,,,,,,,,
30.831894263482994,570.9383013036029,,,,,,,,,,,,,,,,
31.11570610812739,661.229422467432,,,,,,,,,,,,,,,,
31.39951795277178,743.3122598890948,,,,,,,,,,,,,,,,
31.541423875093983,800.7702460842586,,,,,,,,,,,,,,,,
31.777933745630975,891.0613672480877,,,,,,,,,,,,,,,,
31.967141642060575,970.4081100890285,,,,,,,,,,,,,,,,
32.061745590275365,1027.8660962841925,,,,,,,,,,,,,,,,
32.582067305456754,1090.7962716408006,,,,,,,,,,,,,,,,
32.723973227778956,1148.2542578359646,,,,,,,,,,,,,,,,
32.96048309831595,1235.8092844190714,,,,,,,,,,,,,,,,
33.29159691706774,1290.5311760335135,,,,,,,,,,,,,,,,
33.57540876171213,1356.1974459708435,,,,,,,,,,,,,,,,
34.14303245100092,1427.335905069618,,,,,,,,,,,,,,,,
34.8525620626119,1479.3217021033379,,,,,,,,,,,,,,,,
35.94050746708208,1509.418742491281,,,,,,,,,,,,,,,,
36.36622523404867,1468.3773237804494,,,,,,,,,,,,,,,,
37.17035879387445,1413.6554321660076,,,,,,,,,,,,,,,,
37.69068050905584,1364.4057297130098,,,,,,,,,,,,,,,,
38.069096301915025,1274.114608549181,,,,,,,,,,,,,,,,
38.30560617245203,1183.8234873853519,,,,,,,,,,,,,,,,
38.58941801709642,1109.9489337058553,,,,,,,,,,,,,,,,
38.92053183584821,1033.3382854456368,,,,,,,,,,,,,,,,
39.1570417063852,962.1998263468622,,,,,,,,,,,,,,,,
39.393551576922206,871.9087051830331,,,,,,,,,,,,,,,,
39.488155525136996,800.7702460842586,,,,,,,,,,,,,,,,
39.488155525136996,726.8956924047623,,,,,,,,,,,,,,,,
39.44085355102959,628.3962874987669,,,,,,,,,,,,,,,,
39.488155525136996,532.6329771734934,,,,,,,,,,,,,,,,
39.488155525136996,447.8140451711088,,,,,,,,,,,,,,,,
39.488155525136996,360.2590185880017,,,,,,,,,,,,,,,,
39.488155525136996,289.1205594892274,,,,,,,,,,,,,,,,
39.44085355102959,217.98210039045284,,,,,,,,,,,,,,,,
39.535457499244394,168.7323979374553,,,,,,,,,,,,,,,,
40.33959105907018,135.89926296879003,,,,,,,,,,,,,,,,
40.95451672246636,94.8578442579585,,,,,,,,,,,,,,,,
41.61674435996994,51.08033096640497,,,,,,,,,,,,,,,,
42.18436804925873,7.302817674851667,,,,,,,,,,,,,,,,
43.461521350158506,4.566723094129429,,,,,,,,,,,,,,,,
44.54946675462868,4.566723094129429,,,,,,,,,,,,,,,,
